"delta","Sigma.TRUE","Sigma.Assumed","Sigma.Re.estimate","Sample.Size.Initial","Sample.Size.Re.estimate","Beta.Re.estimate","Confidence.Interval.Beta.Low","Confidence.Interval.Beta.High","NON.SSR.Beta.Re.estimate","NON.SSR.Confidence.Interval.Beta.Low","NON.SSR.Confidence.Interval.Beta.High","Power.Re.estimate","Confidence.Interval.Power.Low","Confidence.Interval.Power.High","Power.Re.estimate.1","NON.SSR.Confidence.Interval.Power.Low","NON.SSR.Confidence.Interval.Power.High"
2.34,6.5,6,6.58597082786156,162,"197 (196.956,197.044)",0.204304,0.203733800253273,0.204874199746727,0.263086,0.262463309456304,0.262463309456304,0.795696,0.795125800253273,0.796266199746727,0.263086,0.736291309456304,0.737536690543696
2.34,6.5,6.3,6.58566921403188,180,"197 (196.958,197.042)",0.203824,0.203254298715073,0.204393701284927,0.223978,0.223388403772882,0.223388403772882,0.796176,0.795606298715072,0.796745701284927,0.223978,0.775432403772882,0.776611596227118
2.34,6.5,6.5,6.58865808568612,190,"197 (196.96,197.04)",0.202558,0.201989619394004,0.203126380605996,0.204302,0.203731802327616,0.203731802327616,0.797442,0.796873619394004,0.798010380605996,0.204302,0.795127802327616,0.796268197672384
2.34,6.5,6.8,6.58975322448777,208,"197 (196.961,197.039)",0.201324,0.200756915090971,0.201891084909029,0.172656,0.172121498539452,0.172121498539452,0.798676,0.798108915090971,0.799243084909029,0.172656,0.826809498539452,0.827878501460548
2.34,6.5,7,6.59081921711504,222,"197 (196.963,197.037)",0.202306,0.201737883317682,0.202874116682318,0.152388,0.151879736490674,0.151879736490674,0.797694,0.797125883317682,0.798262116682318,0.152388,0.847103736490674,0.848120263509326
2.34,5,4.5,5.10870177341257,92,"119 (118.964,119.036)",0.207574,0.207000437388729,0.208147562611271,0.281282,0.280646134548075,0.280646134548075,0.792426,0.791852437388729,0.792999562611271,0.281282,0.718082134548075,0.719353865451925
2.34,5,4.8,5.11248514929964,104,"119 (118.967,119.033)",0.205182,0.204610891697003,0.205753108302997,0.233944,0.233345311091026,0.233345311091026,0.794818,0.794246891697003,0.795389108302997,0.233944,0.765457311091026,0.766654688908974
2.34,5,5,5.11442298961444,112,"119 (118.968,119.032)",0.203848,0.203278273762416,0.204417726237584,0.206798,0.206225230260583,0.206225230260583,0.796152,0.795582273762416,0.796721726237584,0.206798,0.792629230260583,0.793774769739417
2.34,5,5.3,5.11658569558576,126,"119 (118.97,119.03)",0.203366,0.202796775492369,0.203935224507631,0.166672,0.16614494697721,0.16614494697721,0.796634,0.796064775492369,0.797203224507631,0.166672,0.83280094697721,0.83385505302279
2.34,5,5.5,5.11782154891431,136,"119 (118.971,119.029)",0.20349,0.202920646296403,0.204059353703597,0.142982,0.142486948189225,0.142486948189225,0.79651,0.795940646296403,0.797079353703597,0.142982,0.856522948189225,0.857513051810775
